Google Ads campaign,Nth week,Google Ads cost,Google Ads impressions
md_pmax_алкоголь_виски,0000,93994.3,972616
md_pmax_детские_товары_питание,0000,70926.117796,754771
md_pmax_алкоголь_пиво,0000,63626.56,827219
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,0000,53737.65,320944
md_pmax_товары_для_дома,0000,52539.099037,968484
md_pmax_алкоголь_вино_игристое,0000,46148.26,533857
md_pmax_товары_для_дома_посуда_столовая_посуда,0000,37265.878333,432200
pr_mega_demgen_big-sale_2405,0000,36449.575815,454163
md_pmax_алкоголь_вино,0000,36068.87,530583
md_pmax_детские_товары_подгузники,0000,35450.495898,313466
md_pmax_зоотовары_собаки_кормление,0000,35403.13,258121
md_pmax_продукты_питания_напитки_холодные_вода,0000,33265.539523,432746
md_pmax_зоотовары_коты_кормление,0000,33045.21,314592
md_pmax_продукты_питания_напитки_кофе,0000,30914.3,329338
md_pmax_продукты_питания_бакалея,0000,29713.600452,691727
md_pmax_детские_товары_игрушки_лего,0000,28360.703467,459244
md_pmax_алкоголь_водка,0000,28267.53,369378
md_pmax_продукты_питания_кондитерка,0000,27787.227334,554511
md_pmax_детские_товары_подгузники_пеленки,0000,27491.535944,407413
md_pmax_продукты_питания_напитки_холодные_соки,0000,26851.403385,291490
srch_DSA_алкоголь_UA,0000,26605.784106,123836
md_pmax_алкоголь_бренди,0000,25425.79,360634
md_pmax_бытовая_химия_средства_для_уборки,0000,25269.04529,502553
pr_video_vendor_loreal_2405,0000,22283.977925,927412
srch_prod_алкоголь,0000,20358.79,101554
md_pmax_алкоголь_ликеры_и_наливки,0000,19352.74,239138
md_pmax_детские_товары_косметика_и_гигиена,0000,19090.861165,231488
md_pmax_красота_и_уход_защита_от_солнца,0000,17330.328598,293218
md_pmax_алкоголь_ром,0000,14775.05,199656
shop_st_зоотовары_собаки_здоровье,0000,14397.45,274054
srch_prod_детские_товары,0000,14010.621009,98778
md_pmax_красота_и_уход_уход_за_волосами_шампуни,0000,13490.633058,275280
md_pmax_товары_для_дома_хозяйственный_инвентарь_хозяйственные товары_бумажные_полотенца_GA4_onlyshop,0000,12796.415544,72496
pr_demgen_vendor_lego-kids-day_2405,0000,12678.456845,162852
md_pmax_продукты_питания_консервы,0000,12433.117505,287994
md_pmax_алкоголь_джин,0000,12205.47,104191
md_pmax_детские_товары_игрушки_для_малышей,0000,12156.88295,147599
md_pmax_продукты_питания_кондитерка_батончики,0000,12041.548453,186485
md_pmax_красота_и_уход_уход_за_волосами,0000,11969.1,336284
md_pmax_продукты_питания_снеки,0000,11813.910912,315887
md_pmax_красота_и_уход_гигиена_прокладки_урологические,0000,11742.07,95047
shop_st_бытовая_химия_средства_для_стирки,0000,11591.48,228915
md_pmax_товары_для_здоровья_интимные_товары,0000,11191.734199,26238
srch_DSA,0000,9686.05,77173
shop_st_детские_товары_кормление,0000,9639.37,189047
md_pmax_товары_для_дома_хозяйственный_инвентарь_хозяйственные товары_Все_для_хранения_и_организации пространства_GA4,0000,9524.856386,61908
md_pmax_продукты_питания_кондитерка_конфеты,0000,9382.969063,229970
md_pmax_продукты_питания_соусы,0000,9127.138853,230402
md_pmax_товары_для_дома_хозяйственный_инвентарь_хозяйственные товары_туалетная_бумага_GA4,0000,9061.915705,63465
shop_st_дача_сад_огород_садовые_работы,0000,9052.81,185153
md_pmax_алкоголь_текила,0000,8983.38,108033
md_pmax_продукты_питания_бакалея_масло,0000,8890.548622,154119
md_pmax_продукты_питания_кондитерка_шоколад,0000,8771.284115,229987
md_pmax_красота_и_уход_уход_за_лицом,0000,8561.477549,200911
md_pmax_красота_и_уход_макияж,0000,8523.68,228578
md_pmax_алкоголь_вино_вермут,0000,8449.57,89714
md_pmax_детские_товары_игрушки_a,0000,8187.330071,348538
shop_st_детские_товары_коляски,0000,7978.35,195532
md_pmax_красота_и_уход_уход_за_лицом_крема,0000,7755.582079,180991
srch_cat_алкоголь,0000,7661.59,37825
md_pmax_школа_офис_и_книги,0000,7657.56,211109
srch_cat_детские_товары,0000,7560.52,55121
md_pmax_алкоголь_бальзамы,0000,7368.25,103670
md_pmax_дача_сад_огород_растения,0000,7367.515782,212623
md_pmax_зоотовары_собаки,0000,7201.04526,109583
srch_prod_детские_товары [1] Clone,0000,7151.96,62703
md_pmax_красота_и_уход_уход_за_телом_дезодоранты,0000,7001.53,151944
shop_st_красота_и_уход_уход_за_телом_крема,0000,6818.82,133894
brand_shopping,0000,6495.11,380498
md_pmax_товары_для_здоровья_спортивное_питание,0000,6435.338306,90587
md_pmax_товары_для_дома_посуда_посуда_для хранения продуктов,0000,6255.354997,98022
md_pmax_товары_для_дома_посуда_посуда_для_приготовления_пищи,0000,6218.251054,119049
shop_st_бытовая_химия_репеленты,0000,6099.32,95800
md_pmax_красота_и_уход_гигиена_прокладки_гигиенические,0000,5885.384307,131734
md_pmax_зоотовары_коты_гигиена,0000,5730.374569,79914
md_pmax_продукты_питания_напитки_холодные_энергетические_напитки,0000,5707.95752,96138
md_pmax_МБТ_техника_для_дома,0000,5424.45,32167
shop_st_красота_и_уход_уход_за_телом_гели,0000,5325.55,93071
md_pmax_МБТ_GA4_top24,0000,5266.39,110154
shop_st_детские_товары_питание_печенье,0000,5254.08,84755
shop_st_детские_товары_питание_пюре,0000,5174.46,90237
md_pmax_зоотовары_собаки_гигиена,0000,5045.269376,63177
srch_cat_продукты_питания,0000,4928.99,37974
md_pmax_красота_и_уход_уход_за_волосами_окрашивание,0000,4893.970533,185389
shop_st_детские_товары_питание_каши,0000,4748.33,81532
shop_st_дача_сад_огород_дачный_отдых,0000,4715.47,120231
md_pmax_алкоголь,0000,4713.15,152748
srch_prod_зоотовары,0000,4654.19,26406
md_pmax_товары_для_здоровья_БАДы,0000,4511.3,139647
shop_st_детские_товары_активный_отдых,0000,4450.51,83115
md_pmax_детские_товары_мебель,0000,4384.730106,80954
srch_cat_товары_для_дома,0000,4269.19,37184
shop_st_красота_и_уход_уход_за_полостью_рта_електрические,0000,4192.67,33466
md_pmax_товары_для_дома_посуда_сервировка_стола_GA4,0000,4179.718221,60120
md_pmax_бытовая_химия_средства_для_мытья_посуды,0000,4101.86462,46277
md_pmax_продукты_питания_кондитерка_печенье,0000,4082.302476,80375
merch_shop_st_drop_buy,0000,4060.49,95689
md_pmax_детские_товары_беременость_и_материнство,0000,3951.96,48324
md_pmax_продукты_питания_напитки_чай,0000,3800.64,81985
shop_st_красота_и_уход_уход_за_полостью_рта_зубные_пасты,0000,3748.29,74004
md_pmax_красота_и_уход,0000,3714.79,106954
md_pmax_зоотовары_коты_дом_и_отдых,0000,3696.659015,56342
md_pmax_красота_и_уход_азиатская_косметика,0000,3689.374834,69485
md_pmax_красота_и_уход_уход_за_лицом_умывание,0000,3593.639401,82340
