Google Ads campaign,Nth week,Google Ads cost,Google Ads impressions,Active users
md_pmax_алкоголь_виски,29,229907.466227,1934155,1382
md_pmax_алкоголь_виски,30,207570.27,2108971,1410
md_pmax_детские_товары_игрушки_лего,27,203284.206247,2116119,1203
md_pmax_алкоголь_виски,28,199218.045795,1512872,1164
md_pmax_детские_товары_игрушки_лего,26,179111.116119,1631925,1572
md_pmax_алкоголь_виски,42,171815.39626,1415686,1275
md_pmax_алкоголь_виски,27,167357.514356,1482231,955
md_pmax_зоотовары_коты_кормление,35,158266.0336,1030831,1389
md_pmax_алкоголь_виски,48,155951.585437,1174560,1131
md_pmax_алкоголь_виски,45,154306.736952,1363262,1250
md_pmax_зоотовары_коты_кормление,41,153462.791943,793424,1453
md_pmax_зоотовары_коты_кормление,34,152964.916373,942301,1408
md_pmax_алкоголь_виски,51,148228.365802,1119007,1100
md_pmax_зоотовары_коты_кормление,33,146942.690976,935217,1290
md_pmax_алкоголь_виски,46,146281.508381,1199989,1206
md_pmax_алкоголь_виски,44,145743.625427,1267699,1058
md_pmax_алкоголь_виски,39,145526.432025,1269603,1081
md_pmax_алкоголь_виски,52,144803.875425,1159375,1049
md_pmax_зоотовары_коты_кормление,40,144503.958622,703821,1375
md_pmax_товары_для_здоровья_БАДы,51,140627.793596,1565361,1909
md_pmax_зоотовары_коты_кормление,42,139454.000384,756486,1240
md_pmax_алкоголь_виски,38,137754.142708,1247974,963
md_pmax_алкоголь_виски,41,136396.294184,1104746,1074
md_pmax_алкоголь_вино_игристое,29,135961.064142,1206825,765
md_pmax_товары_для_здоровья_БАДы,55,135869.501528,1612142,1652
md_pmax_алкоголь_виски,43,135522.606328,1173773,1124
md_pmax_алкоголь_виски,18,134889.19,1230245,781
md_pmax_товары_для_здоровья_БАДы,50,134827.642253,1479714,1732
md_pmax_продукты_питания_кондитерка,27,134238.511327,1875416,1416
md_pmax_товары_для_здоровья_БАДы,56,133931.872449,1791527,1597
md_pmax_зоотовары_коты_кормление,38,133534.055755,782827,1119
md_pmax_алкоголь_виски,26,131961.471365,1050402,1056
md_pmax_детские_товары_игрушки_лего,34,131863.466606,1671904,823
md_pmax_алкоголь_виски,40,130534.869537,1110488,955
md_pmax_зоотовары_коты_кормление,36,130260.742691,829476,1267
md_pmax_алкоголь_виски,49,127748.164598,1040210,966
md_pmax_алкоголь_виски,36,127120.687265,1354480,985
md_pmax_детские_товары_игрушки_лего,29,125238.29902,1230889,1278
md_pmax_зоотовары_коты_кормление,14,122968.40829,633353,821
md_pmax_товары_для_здоровья_БАДы,54,120556.016002,1405919,1652
md_pmax_детские_товары_игрушки_a,27,120516.594722,1779479,1027
md_pmax_зоотовары_коты_кормление,15,120075.066506,732377,960
md_pmax_алкоголь_вино_игристое,28,119948.864411,946236,647
md_pmax_алкоголь_виски,54,119270.919441,1018662,891
md_pmax_алкоголь_виски,50,117268.454757,975961,930
md_pmax_продукты_питания_кондитерка,29,116419.907997,1399726,1237
md_pmax_алкоголь_виски,17,116251.66,1070232,770
md_pmax_алкоголь_пиво,15,115926.78,1488020,788
md_pmax_алкоголь_виски,35,115890.791182,1236021,968
md_pmax_детские_товары_игрушки_лего,17,115262.02,1206231,569
md_pmax_алкоголь_виски,34,113738.064214,1189228,939
md_pmax_алкоголь_вино_игристое,30,112719.75,1404354,777
md_pmax_алкоголь_вино,29,112719.545419,1176714,738
md_pmax_зоотовары_коты_кормление,45,112459.192774,646344,1252
md_pmax_алкоголь_виски,33,112420.540977,1208501,958
md_pmax_товары_для_здоровья_БАДы,52,112362.961484,1378017,1372
md_pmax_товары_для_здоровья_БАДы,58,112255.410646,1485859,1642
md_pmax_детские_товары_игрушки_a,26,111641.04802,1526433,1130
md_pmax_алкоголь_пиво,14,111047.85,1558286,725
md_pmax_товары_для_здоровья_БАДы,57,108534.355026,1519021,1392
md_pmax_алкоголь_виски,37,108330.921337,1159645,1116
md_pmax_детские_товары_игрушки_лего,21,107795.86376,1182058,556
md_pmax_зоотовары_коты_кормление,58,107728.258839,635632,1045
md_pmax_зоотовары_коты_кормление,39,106438.958322,641884,1031
md_pmax_алкоголь_виски,9,106139.05,1006762,680
md_pmax_алкоголь_виски,25,105891.876735,944873,907
md_pmax_алкоголь_виски,11,104922,1002736,613
md_pmax_алкоголь_виски,32,104554.897492,1191989,898
md_pmax_детские_товары_питание,41,104205.402094,690304,798
md_pmax_зоотовары_коты_кормление,44,103971.713252,640087,1261
md_pmax_детские_товары_игрушки_лего,25,103939.050169,1187286,1182
md_pmax_товары_для_здоровья_БАДы,49,103431.655736,1233364,1430
md_pmax_детские_товары_игрушки_лего,20,102469.9636,1104982,730
md_pmax_зоотовары_коты_кормление,57,101914.32162,532355,1042
md_pmax_алкоголь_виски,53,101597.636386,842585,950
md_pmax_алкоголь_виски,20,100929.93,919973,833
md_pmax_детские_товары_подгузники,16,100668.90054,630449,703
md_pmax_товары_для_дома,15,100235.604148,1225541,1067
md_pmax_детские_товары_подгузники,14,99718.275097,573260,590
md_pmax_алкоголь_виски,10,99457.98,942585,742
md_pmax_алкоголь_вино,28,99336.796132,939529,701
md_pmax_детские_товары_игрушки_лего,19,99319.06,1131869,636
md_pmax_товары_для_дома,26,99201.729995,1127467,1157
md_pmax_продукты_питания_кондитерка,28,98828.076496,1231857,1207
md_pmax_алкоголь_виски,16,98380.26,960456,716
md_pmax_детские_товары_подгузники,15,98122.984355,607151,754
md_pmax_зоотовары_коты_кормление,59,97287.397608,642274,1025
md_pmax_алкоголь_вино,30,97243.99,1146791,801
md_pmax_алкоголь_виски,47,96273.048028,788586,905
md_pmax_детские_товары_игрушки_a,35,96257.864079,1388336,1139
md_pmax_детские_товары_игрушки_a,34,96189.182359,1420596,1136
md_pmax_алкоголь_виски,14,95825.19,978628,641
md_pmax_зоотовары_коты_кормление,50,95000.265966,562205,1013
md_pmax_детские_товары_игрушки_лего,32,94053.474133,1372923,759
md_pmax_детские_товары_игрушки_лего,18,93520.12,1073398,606
md_pmax_детские_товары_игрушки_лего,22,93451.482415,1060460,594
md_pmax_детские_товары_подгузники,33,93030.63645,569169,780
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,18,92926.682345,3031807,618
md_pmax_детские_товары_игрушки_лего,33,91877.042625,1089560,779
md_pmax_зоотовары_коты_кормление,60,91606.143895,486199,1074
md_pmax_детские_товары_подгузники,9,91522.4721,630150,641
md_pmax_зоотовары_коты_кормление,49,91293.767214,482160,1038
md_pmax_зоотовары_коты_кормление,37,90364.630112,577161,1091
md_pmax_зоотовары_коты_кормление,32,90052.628362,641822,973
md_pmax_детские_товары_игрушки_лего,24,89968.374119,1030682,813
md_pmax_детские_товары_питание,15,89774.257104,780067,521
md_pmax_алкоголь_виски,12,89541.28,1003377,476
md_pmax_красота_и_уход_лореаль,15,89525.61,1138555,851
md_pmax_алкоголь_пиво,46,89219.328672,912791,926
md_pmax_зоотовары_коты_кормление,48,88011.128241,480376,944
md_pmax_алкоголь_виски,24,87687.518699,821233,739
md_pmax_алкоголь_виски,19,87011.12,899604,750
md_pmax_зоотовары_коты_кормление,56,86944.650908,615449,796
md_pmax_детские_товары_питание,42,86626.552884,573280,766
md_pmax_товары_для_дома,27,86163.091398,1064422,1112
